table_name,table_schema,table_size,indexes_size,total_size
"pg_catalog"."pg_locks",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_available_extensions",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_available_extension_versions",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_prepared_xacts",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_prepared_statements",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_seclabels",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_statio_sys_tables",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_timezone_abbrevs",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_timezone_names",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_statio_user_tables",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_stat_all_tables",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_stat_xact_all_tables",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_stat_sys_tables",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_stat_xact_sys_tables",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_stat_user_tables",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_stat_xact_user_tables",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_statio_all_tables",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_stat_all_indexes",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_stat_sys_indexes",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_stat_user_indexes",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_statio_all_indexes",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_statio_sys_indexes",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_statio_user_indexes",pg_catalog,0 bytes,0 bytes,0 bytes
"public"."geography_columns",public,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_statio_sys_sequences",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_statio_user_sequences",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_stat_activity",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_stat_replication",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_stat_wal_receiver",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_stat_subscription",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_stat_ssl",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_stat_gssapi",pg_catalog,0 bytes,0 bytes,0 bytes
