0.95,1.988,9.539,17.506,0.11,16.918,0.101,17.159,0.104,0.098,0.091,0.092,0.089,0.094,0.09,0.092,0.087
0.236,1.029,6.561,18.626,0.113,17.351,0.111,16.987,0.118,0.097,0.085,0.085,0.102,0.084,0.103,0.09,0.097
0.269,0.973,7.332,17.702,0.165,16.916,0.116,18.944,0.157,0.108,0.09,0.182,0.119,0.118,0.112,0.087,0.125
0.243,1.275,8.299,21.28,0.169,25.164,0.126,18.223,0.121,0.098,0.097,0.091,0.105,0.096,0.103,0.114,0.096
0.694,0.969,7.21,17.959,0.119,16.613,0.111,16.42,0.1,0.091,0.087,0.081,0.086,0.092,0.085,0.084,0.112
0.227,1.857,12.511,26.039,0.127,17.342,0.128,17.804,0.122,0.099,0.098,0.093,0.104,0.091,0.085,0.103,0.106
0.275,1.068,6.868,18.632,0.108,16.758,0.107,16.579,0.1,0.085,0.088,0.095,0.088,0.093,0.09,0.086,0.083
0.212,0.989,6.649,17.473,0.115,16.816,0.116,16.738,0.112,0.091,0.1,0.113,0.104,0.092,0.09,0.085,0.083
0.517,1.054,7.106,17.547,0.123,16.861,0.108,16.572,0.094,0.09,0.091,0.085,0.09,0.092,0.092,0.091,0.09
0.198,0.973,7.668,17.079,0.114,16.433,0.111,16.551,0.102,0.083,0.092,0.086,0.123,0.102,0.091,0.092,0.083
0.311,1.34,6.764,28.12,0.207,26.737,0.143,19.281,0.166,0.116,0.127,0.099,0.107,0.157,0.163,0.14,0.115
0.195,3.106,7.131,18.305,0.132,16.798,0.143,16.601,0.126,0.093,0.098,0.099,0.091,0.095,0.085,0.091,0.084
0.634,0.968,6.931,17.921,0.109,16.501,0.111,17.144,0.096,0.092,0.095,0.125,0.09,0.083,0.089,0.084,0.088
0.199,1.288,6.725,17.199,0.107,16.897,0.102,17.099,0.108,0.086,0.13,0.096,0.099,0.113,0.116,0.086,0.093
0.387,0.974,10.634,23.946,0.137,19.739,0.144,19.123,0.1,0.193,0.136,0.167,0.118,0.108,0.141,0.136,0.145
0.23,1.278,7.73,25.048,0.12,29.744,0.114,29.416,0.107,0.218,0.114,0.117,0.106,0.364,0.118,0.115,0.111
0.187,2.047,6.883,16.632,0.108,17.962,0.106,16.574,0.108,0.084,0.083,0.08,0.091,0.09,0.163,0.142,0.105
0.168,1.931,6.56,18.236,0.115,16.591,0.113,16.363,0.096,0.092,0.086,0.088,0.087,0.093,0.09,0.088,0.091
0.201,0.974,6.697,17.278,0.113,16.627,0.114,16.367,0.099,0.09,0.085,0.086,0.09,0.089,0.085,0.095,0.088
0.32,1.373,7.092,17.664,0.124,16.984,0.119,17.242,0.153,0.1,0.09,0.11,0.114,0.133,0.106,0.094,0.087
0.234,1.529,8.247,23.309,0.159,24.01,0.13,22.502,0.136,0.106,0.118,0.137,0.098,0.089,0.092,0.094,0.09
0.278,0.982,9.226,16.874,0.118,16.786,0.109,16.782,0.11,0.09,0.131,0.098,0.093,0.094,0.096,0.091,0.085
0.283,1.038,7.019,18.458,0.112,16.516,0.114,16.408,0.098,0.095,0.091,0.129,0.096,0.084,0.09,0.092,0.094
0.434,1.072,7.059,17.34,0.11,16.444,0.11,16.439,0.108,0.103,0.09,0.086,0.09,0.084,0.082,0.092,0.084
0.526,0.998,6.828,17.604,0.113,16.663,0.114,16.818,0.128,0.096,0.095,0.089,0.111,0.089,0.125,0.106,0.098
0.314,1.974,9.59,22.753,0.185,19.33,0.126,22.34,0.113,0.139,0.136,0.134,0.165,0.127,0.161,0.132,0.134
0.401,1.672,16.453,22.447,0.123,16.999,0.123,17.055,0.106,0.093,0.118,0.106,0.084,0.091,0.083,0.086,0.083
0.271,0.972,6.987,17.972,0.116,16.505,0.103,18.247,0.104,0.096,0.091,0.093,0.124,0.108,0.096,0.097,0.096
0.451,1.135,7.524,18.141,0.11,16.861,0.117,18.805,0.124,0.187,0.111,0.143,0.11,0.107,0.103,0.122,0.143
0.385,2.967,7.432,20.193,0.126,19.451,0.127,19.032,0.148,0.11,0.095,0.109,0.108,0.139,0.159,0.105,0.124
0.234,1.595,7.716,19.572,0.219,22.288,0.156,23.748,0.12,0.147,0.149,0.175,0.101,0.314,0.101,0.089,0.097
0.297,1.168,7.212,19.027,0.114,17.682,0.121,16.539,0.102,0.109,0.094,0.101,0.089,0.086,0.089,0.087,0.196
0.82,1.886,6.651,17.478,0.166,16.855,0.127,17.017,0.112,0.093,0.101,0.097,0.096,0.095,0.101,0.137,0.097
0.266,0.952,7.681,16.906,0.121,16.678,0.111,17.641,0.158,0.118,0.128,0.12,0.154,0.13,0.129,0.126,0.097
0.206,2.237,8.786,19.146,0.138,18.681,0.12,19.377,0.11,0.155,0.131,0.139,0.102,0.106,0.124,0.113,0.16
0.192,2.411,7.533,22.302,0.128,23.841,0.124,17.09,0.115,0.167,0.144,0.106,0.106,0.14,0.114,0.208,0.109
1.25,0.972,10.349,17.956,0.116,17.963,0.112,18.892,0.102,0.088,0.104,0.098,0.102,0.101,0.104,0.085,0.093
0.787,1.009,7.068,18.321,0.113,16.722,0.104,17.762,0.109,0.096,0.084,0.094,0.1,0.082,0.087,0.085,0.089
0.206,1.233,7.762,17.74,0.123,17.263,0.113,17.813,0.108,0.084,0.096,0.093,0.097,0.114,0.101,0.092,0.09
0.183,1.025,6.822,18.416,0.126,16.605,0.141,17.75,0.118,0.093,0.093,0.094,0.088,0.091,0.098,0.092,0.092
0.648,0.966,7.654,18.896,0.177,17.346,0.13,17.944,0.137,0.103,0.115,0.132,0.143,0.143,0.136,0.105,0.129
0.188,0.967,9.139,16.791,0.116,17.216,0.109,17.199,0.099,0.088,0.092,0.09,0.095,0.096,0.095,0.094,0.093
0.582,1.406,6.986,20.125,0.119,18.201,0.142,16.932,0.11,0.102,0.107,0.087,0.104,0.097,0.1,0.103,0.097
0.414,0.954,7.489,16.515,0.113,16.4,0.113,16.346,0.098,0.093,0.091,0.09,0.091,0.092,0.095,0.099,0.094
0.292,2.132,6.786,17.89,0.119,16.711,0.112,16.738,0.102,0.133,0.095,0.089,0.087,0.095,0.087,0.083,0.086
0.729,0.973,7.426,19.062,0.155,19.036,0.113,19.254,0.104,0.098,0.122,0.115,0.153,0.106,0.103,0.118,0.176
0.289,2.317,11.147,22.603,0.133,27.022,0.219,30.307,0.112,0.105,0.095,0.154,0.097,0.091,0.087,0.176,0.102
0.527,0.961,7.088,18.59,0.123,16.697,0.111,16.569,0.13,0.1,0.097,0.093,0.086,0.086,0.082,0.092,0.085
0.38,1.003,7.308,18.177,0.12,16.983,0.116,16.69,0.097,0.095,0.099,0.087,0.093,0.082,0.096,0.104,0.093
0.191,0.939,6.713,17.98,0.12,16.705,0.119,16.65,0.113,0.093,0.093,0.086,0.085,0.093,0.085,0.088,0.086
0.51,0.988,6.932,17.73,0.113,16.627,0.107,16.409,0.108,0.085,0.093,0.095,0.095,0.09,0.09,0.14,0.095
0.296,1.167,8.112,16.8,0.13,17.335,0.11,16.729,0.125,0.099,0.095,0.095,0.104,0.092,0.087,0.086,0.098
0.568,0.958,7.099,18.194,0.162,16.832,0.11,16.68,0.099,0.104,0.098,0.093,0.09,0.105,0.088,0.085,0.11
0.18,1.267,6.836,18.773,0.198,18.657,0.189,19.154,0.102,0.195,0.129,0.198,0.106,0.149,0.128,0.169,0.127
